pca_x,pca_y,cluster_label,deck_type,era
-0.36290536423505293,1.0491607324037355,General Pool,Theme Deck,Pre-2015
-0.07933144467190303,-0.060104283028729166,General Pool,Intro Pack,2015-2019
-0.31372475274813594,0.019843335448856414,General Pool,Duel Deck,Pre-2015
-0.31372475274813594,0.019843335448856414,General Pool,Duel Deck,Pre-2015
-0.14170685616920037,0.46905163097606617,General Pool,Intro Pack,Pre-2015
1.438311252377603,0.007697059489323976,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
-0.05918715434255448,-0.18855296565785495,General Pool,Intro Pack,2015-2019
-0.3695794762853691,0.0492765369565481,General Pool,Arena Starter Deck,2020-Present
-0.2596933522300515,-0.04311182558859894,General Pool,Theme Deck,Pre-2015
-0.3238599427091411,-0.14405890644791833,General Pool,Intro Pack,Pre-2015
1.2313533526558156,0.3611111878141601,Commander/Brawl,Commander Deck,2015-2019
1.2313533526558156,0.3611111878141601,Commander/Brawl,Commander Deck,Pre-2015
-0.32133304816227415,-0.1633109410655573,General Pool,Intro Pack,Pre-2015
-0.05918715434255448,-0.18855296565785495,General Pool,Challenger Deck,2020-Present
-0.32350349264927464,-0.11430252956560377,General Pool,Pioneer Challenger Deck,2020-Present
-0.3094436885407271,-0.19528201789004793,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.1441213406050501,0.5765003301788424,General Pool,Arena Starter Deck,2015-2019
-0.28059566444873807,-0.24609867375863972,General Pool,Challenger Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Guild Kit,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
